
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
38641-94-0	Glyphosate IPA Salt	 
38861-78-8	Ethanone, 1-(4-(2-methylpropyl)phenyl)-	Ethanone, 1-<4-(2-methylpropyl)phenyl>-
38900-29-7	Dilithium nonanedioate	 
38916-42-6	Aspartic acid, N-(3-carboxy-1-oxo-3-sulfopropyl)-N-octadecyl-, tetrasodium salt	 
39148-24-8	Aluminium triethyl triphosphonate	Aluminium phosphonate, ethyl ester
39278-27-8	Lignosulfonic acid, barium salt	 
39290-78-3	Aluminium chloride hydroxide sulfate	 
39318-18-8	Tungsten oxide	 
39421-75-5	Guar gum, 2-hydroxypropyl ether	 
39445-23-3	Calcium magnesium tetrahydroxide	 
39878-87-0	(-)-alpha-(Chloroformyl)benzylammonium chloride	 
39943-70-9	Sulfuric acid, monodecyl ester, compd. with 2,2',2''-nitrilotris[ethanol] (1:1) (C10 ASO4 TEA)	 
40164-69-0	Acetamide, 2-chloro-N-(chloromethyl)-N-(2,6-diethylphenyl)-	Acetamide, 2-chloro-N-(chloromethyl)-N-(2,6-diethy
40292-82-8	Neodecanoyl chloride	 
40372-72-3	3,16-Dioxa-8,9,10,11-tetrathia-4,15-disilaoctadecane, 4,4,15,15-tetraethoxy	3,16-Dioxa-8,9,10,11-tetrathia-4,15-disilaoctadeca
40487-42-1	Pendimethalin	 
40601-76-1	1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris[[4-(1,1-dimethylethyl)-3-hydroxy-2,6-dimethylphenyl]methyl]-	 
40778-16-3	1H-Pyrimidin-4-one, 2-(dimethylamino)-5,6-dimethyl-	2-(Dimethylamino)-5,6-dimethyl-1H-pyrimidin-4-one
40843-73-0	Phenol, 4-(2,4-Dichlorophenoxy)-	4-(2,4-Dichlorophenoxy) phenol
40861-29-8	Carbonic acid, ammonium zinc salt (2:2:1)	 
41198-08-7	Profenphos	 
41267-43-0	1,4-Benzenedisulfonic acid, 2,2’-[1,2-ethenediylbis[(3-sulfo-4,1-phenylene)imino(6-phenoxy-1,3,5-triazine-4,2-diyl)imino]]bis-, hexasodium salt	 
41317-15-1	4-Methoxy-N-phenyl-o-toluidine	 
41394-05-2	1,2,4-Triazin-5-one, 4-amino-3-methyl-6-phenyl-	4-Amino-3-methyl-6-phenyl-1,2,4-triazin-5-one
41481-66-7	Phenol, 4,4'-sulfonylbis[2-(2-propen-1-yl)-	 
41484-35-9	Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, thiodi-2,1-ethanediyl ester	 
41556-26-7	Decanedioic acid, bis(1,2,2,6,6-pentamethyl-4-piperidinyl)ester	bis(1,2,2,6,6-pentamethyl-4-piperidyl) sebacate
41593-38-8	Propylene glycol phenyl ether (mixed isomer product)	 
41663-84-7	Phthalimide, N-methyl-4-nitro-	1H-Isoindole-1,3(2H)-dione, 2-methyl-5-nitro-
41863-30-3	Sodium DL-methionate	 
42125-46-2	4-tert-Butylcyclohexyl chloroformate	 
42149-74-6	1-(2-chloroethoxy)propane	 
42222-50-4	9-Octadecenoic acid (9Z)-, 2,2-dimethyl-1,3-propanediyl ester	9-Octadecenoic acid (Z)-, 2,2-dimethyl-1,3-propane
42240-73-3	2,2’,3,3’-Tetrachloro-4,4’-diaminodiphenylmethane (TCDAM)	 
42272-70-8	4-pentadecylidene-3-tetradecyloxetan-2-one	 
42399-49-5	(2S-cis)-2,3-Dihydro-3-hydroxy-2-(4-methoxyphenyl)	 
42482-06-4	2,5-Furandione, dihydro-3-(2-octenyl)-	 
42757-55-1	Bis[3,5-dibromo-4-(2,3-dibromopropoxy)phenyl] sulphone	 
42978-66-5	Tripropylene glycol diacrylate	2-Propenoic acid, (1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)]e
43121-43-3	Butanone, (4-chlorophenoxy)-3,3-dimethyl-1,2,4-triazol-1-yl-	(4-chlorophenoxy)-3,3-dimethyl-1,2,4-triazol-1-yl-butanone
44914-03-6	2-Methylbutyl acrylate	 
44992-01-0	[2-(Acryloyloxy)ethyl]trimethyl ammonium chloride	Ethanaminium, N,N,N-trimethyl-2-[(1-oxo-2-propenyl)oxy]-, chloride
45021-77-0	Trimethyl-3-[(1-oxoallyl)amino]propyl ammonium chloride	Trimethyl-3-(1-oxoallyl)amino-propyl ammonium chlo
45294-18-6	Methacrylic acid, 2-methyl-, eicosyl ester	2-Propenoic acid, 2-methyl-eicosyl ester
46948-72-5	Hexanoic acid, 6-[methyl(phenylsulphonyl)amino]-	6-(Methyl(phenylsulphonyl)amino) hexanoic acid
48145-04-6	2-Phenoxyethyl acrylate	2-Propenoic acid, 2-phenoxyethyl ester
50471-44-8	1,3-Oxazoline-2,4-dione, N-3,5-dichlorophenyl-5-methyl-5-vinyl-	N-3,5-dichlorophenyl-5-methyl-5-vinyl-1,3-oxazoline-2,4-dion
50563-36-5	Dimethachlor	 
50594-66-6	Benzoic acid, 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitro-	 
50639-37-7	3,5-Bis(6-isocyanatohexyl)-2H-1,3,5-oxadiazine-2,4,6(3H,5H)-trione	 
50723-80-3	3-isoPropyl-2,1,3-benzothiadiazin-4-one 2,2-dioxide Na salt	3-isoPropyl-2,1,3-benzothiadiazin-4-one 2,2-dioxid
50815-87-7	Sodium borosilicate	 
50849-47-3	Benzaldehyde, 2-hydroxy-5-nonyl-, oxime	5-Nonylsalicylaldehyde oxime
50864-67-0	Barium sulfide (Ba(Sx))	 
50910-55-9	Benzaldehyde, 2-amino-3,5-dibromo-	 
50957-96-5	Phosphoric acid, dodecyl sodium salt	 
51000-52-3	Neodecanoic acid, ethenyl ester	Vinyl neodecanoate
51178-75-7	1,3-Benzenedicarboxylic acid, 5-sulfo-, monosodium salt, compd. with 1,6-hexanediamine (1:1)	 
51218-45-2	2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide	 
51274-00-1	C.I. Pigment Yellow 42	 
51338-27-3	Methyl 2-[4-(2,4-dichlorophenoxy)phenoxy]propionate	Methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionat
51407-46-6	2-Propanal, 2-(4-isobutylphenyl)-	2-(4-isobutylphenyl)propionaldehyde
51467-07-3	Nickel(2+), hexaammine-, dihydroxide, (O	 
51602-38-1	Nitric acid mixture	 
51774-11-9	Isoheptanol	Isoheptan-1-ol
51839-25-9	Carbonic acid, zinc salt, basic	 
52125-53-8	Propanol, 1(or 2)-ethoxy-	 
52166-72-0	Phenol, 2,5-dichloro-, sodium salt	 
52184-19-7	Phenol, 2,4-bis(1,1-dimethylpropyl)-6-[(2-nitrophenyl)azo]-	 
52255-49-9	2-Propenoic acid, polymer with 2,5-furandione, sodium salt	 
52556-42-0	1-Propanesulfonic acid, 2-hydroxy-3-(2-propenyloxy)-, monosodium salt	1-Propanesulfonic acid, 2-hydroxy-3-(2-propenyloxy
52722-86-8	1-Ethanol, 4-hydroxy-2,2,6,6-tetramethylpiperidine-	4-Hydroxy-2,2,6,6-tetramethylpiperidine-1-ethanol
52829-07-9	Decanedioic acid, bis(2,2,6,6-tetramethyl-4-piperidinyl) ester	Tinuvin 770
53306-54-0	1,2-benzenedicarboxylic acid, di-2-propylheptyl ester	bis (2-propylheptyl) phthalate
53378-51-1	Phosphorodithioic acid, O,O-bis(2-methylpropyl) es	 
53408-94-9	Methanesulfonic acid, tin(2+) salt (2:1)	 
53445-37-7	Adipic acid, 2,2,4(or 2,4,4)-trimethyl-	2,2,4(or 2,4,4)-trimethyladipic acid
53801-45-9	Zirconium oxide	 
53810-32-5	Aluminium hydroxide sulfate	 
53894-23-8	1,2,4-Benzenetricarboxylic acid, triisononyl ester	 
53980-88-4	2-Cyclohexene-1-octanoic acid, 5(or 6)-carboxy-4-hexyl-	2-Cyclohexene-1-octanoic acid, 5(or 6)-carboxy-4-h
54041-17-7	Acetamide, N-(4-fluorophenyl)-2-hydroxy-N-(1-methylethyl)-	 
54272-29-6	Triethylammonium hydrogen sulphate	 
54300-24-2	Ethanol, 2-amino-, 1-acetate (1:1)	 
54395-52-7	1H-Isoindole-1,3(2H)-dione, 5,5'-[(1-methylethylidene)bis(4,1-phenyleneoxy)	1H-Isoindole-1,3(2H)-dione, 5,5'-+(1-methylethylid
54464-54-9	Ethanone, 1-[1,6-dimethyl-3-(4-methyl-3-penten-1-yl)-3-cyclohexen-1-yl]-	 
54464-57-2	Ethanone, 1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)-	 
54574-82-2	Benzoic acid, 2-[4-(dibutylamino)-2-hydroxybenzoyl]-	 
54830-99-8	4,7-Methano-1H-indenol, 3a,4,5,6,7,7a-hexahydro-, acetate	 
54839-24-6	2-Ethoxy-1-methylethyl acetate	 
54849-38-6	Tin, methyl-tris-isooctylmercaptoacetate	Acetic acid, 2,2',2"-[(methylstannylidyne)tris(thio)]tris-, triisooctyl est
55219-65-3	alpha-tert-Butyl-beta-(4-chlorophenoxy)-1H-1,2,4-triazole-1-ethanol	 
55234-12-3	3-Formyl-2,2,5,5-tetramethylthiazolidine-4-carboxylic acid	 
55512-33-9	O-(6-Chloro-3-phenylpyridazin-4-yl)-S-octyl thiocarbonate	O-(6-Chloro-3-phenylpyridazin-4-yl)-S-octyl thioca
55589-62-3	6-methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide, potassium salt	 
55934-93-5	Propanol, [2-(2-butoxymethylethoxy)methylethoxy]-	 
55954-19-3	1H-Azepine-1-carboxamide, N-[3-[[[(hexahydro-2-oxo-1H-azepin-1-yl)carbonyl]	 
56000-16-9	2-Oxetanone, 4-(8Z)-8-heptadecenylidene-3-(7Z)-7-hexadecenyl-	 
56107-04-1	2-Methylpropanol, 3-(p-tert-butylphenyl)-	3-(p-tert-butylphenyl)-2-methylpropanol
56539-66-3	Butanol, 3-methoxy-3-methyl-	3-Methoxy-3-methyl-1-butanol
56706-10-6	3,14-Dioxa-8,9-dithia-4,13-disilahexadecane, 4,4,13,13-tetraethoxy-	 
56776-30-8	Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-(4-morpholinyl)-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, disodium salt	Disodium 4,4'-bis(4-anilino-6-morpholino-1,3,5-triazin-2-yl.
56966-52-0	Aniline, 5-chloro-2-(2,4-dichlorophenoxy)-	5-Chloro-2-(2,4-dichlorophenoxy)aniline
57057-98-4	tris(2,5,8,11-tetraoxatridecyl) orthoborate	 
57077-36-8	Isononanoyl chloride	 
57219-64-4	Dizirconium dihydroxydioxo-carbonate	 
57427-55-1	Phenol, tetrapropylene	 
57455-37-5	C.I. Pigment Blue 29	 
57472-68-1	Oxybis(methyl-2,1-ethanediyl) diacrylate	 
57499-57-7	Ethanone, 1-[1,6-dimethyl-4-(4-methyl-3-pentenyl)-3-cyclohexen-1-yl]-	 
57583-34-3	8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-, 2-ethylhexyl ester	8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-et
57583-35-4	8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-ethyl-4,4-dimethyl-7-oxo-, 2-ethylhexyl ester	Dimethyltin bis(2-ethylhexylmercaptoacetate)
57675-44-2	9-Octadecenoic acid (9Z)-, 2-ethyl-2-[[[(9Z)-1-oxo-9-octadecenyl]oxy]methyl]-1,3-propanediyl ester	 
57855-77-3	Naphthalenesulfonic acid, dinonyl-, calcium salt	 
57966-95-7	2-Cyano-N-((ethylamino)carbonyl-2-(methoxyimino)) acetamide	2-Cyano-N-(ethylamino)carbonyl-2-(methoxyimino) ac
58391-97-2	Boric acid, ester with 2-[2-(2-methoxyethoxy)ethoxy]ethanol and 2,2'-oxybis[ethanol]	 
58398-71-3	Calcium magnesium hydroxide oxide (CaMg(OH)2O)	 
58430-94-7	1-Hexanol, 3,5,5-trimethyl-, 1-acetate	 
58609-72-6	2-(4-isobutylphenyl)propionaldehyde oxime	 
58823-09-9	Phosphonic acid, [2-[[(2-chloroethoxy)(2-chloroethyl)phosphinyl]oxy]ethyl]-, bis(2-chloroethyl) ester	Phosphonic acid, 2-((2-chloroethoxy)(2-chloroethyl
60207-90-1	Propiconazole	 
60304-36-1	Aluminium potassium fluoride	 
60376-08-1	1-Hydroxy-1,1-ethane-diphosphonic acid, 3K Salt	 
60506-81-2	2-Propenoic acid, 2-[[3-hydroxy-2,2-bis[[(1-oxo-2-propenyl)oxy]methyl]propoxy]methyl]-2-[[(1-oxo-2-propenyl)oxy]methyl]-1,3-propanediyl ester	 
60676-86-0	Silica, vitreous	 
61260-55-7	1,6-Hexanediamine, N,N'-bis(2,2,6,6-tetramethyl-4-piperidinyl)-	N,N'-bis(2,2,6,6-tetramethylpiperidin-4-yl) hexanediamine
61361-18-0	N-(2-methylbutyl)-1-pentanamine	 
61538-65-6	Potassium sodium nitrate	 
61788-32-7	Terphenyl, hydrogenated	 
61788-44-1	Phenol, styrenated	 
61788-45-2	Amines, hydrogenated tallow alkyl	 
61788-46-3	Amines, coco alkyl	 
61788-47-4	Fatty acids, coco	 
61788-59-8	Fatty acids, coco, Me esters	 
61788-61-2	Fatty acids, tallow, methyl esters	 
61788-62-3	Amines, dicoco alkylmethyl	 
61788-63-4	Amines, bis(hydrogenated tallow alkyl)methyl	 
61788-66-7	Fatty acids, vegetable-oil	 
61788-76-9	Alkanes, chlorinated	Alkanes, chloro
61788-89-4	Fatty acids, C18-unsatd., dimers	 
61788-90-7	Amine oxides, cocoalkyldimethyl	 
61788-93-0	Amines, coco alkyldimethyl	 
61788-95-2	Amines, (hydrogenated tallow alkyl)dimethyl	 
61789-01-3	Fatty acids, tall-oil, epoxidized, 2-ethylhexyl esters	Fatty acids, tall-oil, epoxidized, 2-ethylhexyl es
61789-09-1	Glycerides, tallow mono-, hydrogenated	 
61789-30-8	Fatty acids, coco, potassium salts	 
61789-31-9	Fatty acids, coco, sodium salts	 
61789-40-0	1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts	3-Amino-N-(carboxymethyl)-N,N-dimethyl-1-propanaminium
61789-45-5	Fatty acids, dehydrated castor-oil	 
61789-53-5	Nitriles, coco	 
61789-60-4	Pitch	 
61789-71-7	Quaternary ammonium compounds, benzylcoco alkyldimethyl, chlorides	 
61789-72-8	Quaternary ammonium compounds, benzyl(hydrogenated tallow alkyl)dimethyl, chlorides	Quaternary ammonium compounds, benzyl(hydrogenated
61789-73-9	Quaternary ammonium compounds, benzylbis(hydrogenated tallow alkyl)methyl, chlorides	Quaternary ammonium compounds, benzylbis(hydrogena
61789-76-2	Amines, dicoco alkyl	 
61789-77-3	Quaternary ammon. compd., dicoco alkyldimethyl, chlorides	Quaternary ammon. compounds, dicoco alkyldimethyl
61789-79-5	Amines, bis(hydrogenated tallow alkyl)	 
61789-80-8	Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, chlorides	D.H.T.D.M.A.C.
61789-86-4	Sulfonic acids (petroleum), calcium salts	Sulfonic acids, petroleum, calcium salts
61789-97-7	Tallow	 
61789-99-9	Lard	 
61790-12-3	Fatty acids, tall-oil	 
61790-13-4	Naphthenic acids, sodium salts	 
61790-18-9	Amines, soya alkyl	 
61790-27-0	Acid chlorides, tallow	 
61790-28-1	Nitriles, tallow	 
61790-29-2	Nitriles, tallow, hydrogenated	 
61790-33-8	Amines, tallow alkyl	 
61790-35-0	Tall oil, sulfated, sodium salt	 
61790-37-2	Fatty acids, tallow	 
61790-38-3	Fatty acids, tallow, hydrogenated	 
61790-39-4	Fatty acids, castor-oil, hydrogenated	 
61790-44-1	Fatty acids, tall-oil, potassium salts	 
61790-45-2	Fatty acids, tall-oil, sodium salts	 
61790-48-5	Sulfonic acids (petroleum), barium salts	Sulfonic acids, petroleum, barium salts
61790-49-6	Lard, oil, sulfurized	 
61790-50-9	Resin acids and Rosin acids, potassium salts	Resin & Rosin acids, potassium salts
61790-51-0	Resin acids and Rosin acids, sodium salts	 
61790-53-2	Kieselguhr	 
61790-62-3	Fatty acids, coco, reaction products with N,N-dimethyl-1,3-propanediamine	 
61790-64-5	Fatty acids, coco, compds. with triethanolamine	 
61790-69-0	Fatty acids, tall-oil, reaction products with diethylenetriamine	Fatty acids, tall-oil, reaction products with diet
61790-79-2	Fatty acids, palm-oil, sodium salts	 
61791-00-2	Fatty acids, tall-oil, ethoxylated	 
61791-01-3	Fatty acids, tall-oil, diesters with polyethylene glycol	Fatty acids, tall-oil, diesters with polyethylene
61791-31-9	Ethanol, 2,2'-iminobis-, N-coco alkyl derivs.	 
61791-32-0	Glycine, N-[2-[(2-hydroxyethyl)amino]ethyl]-, N'-coco acyl derivs., monosodium salts	 
61791-38-6	1H-Imidazole-1-ethanol, 4,5-dihydro-, 2-norcoco alkyl derivs.	 
61791-39-7	1H-Imidazole-1-ethanol, 4,5-dihydro-, 2-nortall-oil alkyl derivs.	 
61791-44-4	Ethanol, 2,2'-iminobis-, N-tallow alkyl derivs.	Ethanol, 2,2'-iminobis-, N-tallow alkyl
61791-46-6	Ethanol, 2,2'-iminobis-, N-tallow alkyl derivs., N-oxides	 
61791-47-7	Ethanol, 2,2'-iminobis-, N-coco alkyl derivs., N-oxides	 
61791-48-8	Fatty acids, tall-oil, monoesters with sorbitan	 
61791-55-7	Amines, N-tallow alkyltrimethylenedi-	 
61791-57-9	Amines, N-tallow alkyldipropylenetri-	 
61791-63-7	Amines, N-coco alkyltrimethylenedi-	 
61792-09-4	Diethylene triamine penta(methylene phosphonic acid), 5Na Salt	 
61792-31-2	Dodecanamide, N-[3-(dimethyloxidoamino)propyl]-	 
61792-48-1	Phosphorodithioic acid, O,O-bis(methylphenyl) ester, sodium salt	 
61898-95-1	Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester	Cyclopropanecarboxylic acid, 3-(2,2-dichloroetheny
61968-66-9	C.I. disperse yellow 114	 
62010-10-0	Zirconium oxide sulphate	 
62476-59-9	Benzoic acid, 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitro-, sodium salt	 
62625-32-5	Phenol, 4,4 -(3H-1,2-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-, S,S-dioxide, monosodium salt	 
63148-62-9	KF96 or KE 76 BS	 
63231-51-6	Aromatic hydrocarbons	 
63231-60-7	Paraffin waxes and Hydrocarbon waxes, microcryst.	 
63231-67-4	Silica gel	 
63321-70-0	2-Ethylhexyl octanoate	 
63393-82-8	Alcohols, C12-15	 
63449-39-8	Paraffin waxes and Hydrocarbon waxes, chloro	 
63451-40-1	2,5-Cyclohexadiene-1-one, 4-phenylimino oxime Na salt	 
63512-64-1	Naphthalene, diisononyl-	 
63589-25-3	1-Sulphonic acid, 4-diazo-3,4-dihydro-7-nitro-3-oxonaphthal-	4-Diazo-3,4-dihydro-7-nitro-3-oxonaphthal-1-sulphonic acid
63800-37-3	Sepiolite	 
64365-05-5	Alcohols, C6-10	 
64365-06-6	Isoparaffins 	 
64365-17-9	Resin & Rosin acids, hydrogenated, esters with pentaerythritol	Resin & Rosin acids, hydrogenated, esters with pen
64665-57-2	Sodium 4-(or 5-)methyl-benzotriazole	1H-Benzotriazole, 4(or 5)-methyl-, sodium salt
64741-41-9	Naphtha (petroleum), heavy straight-run	Naphtha petroleum heavy straight-run
64741-42-0	Naphtha (petroleum), full-range straight-run	Naphtha petroleum full-range straight-run
64741-43-1	Gas oils (petroleum), straight-run	Gas oils petroleum straight-run
64741-44-2	Distillates (petroleum), straight-run middle	Distillates petroleum straight-run middle
64741-45-3	Residues (petroleum), atmospheric tower	Residues petroleum atmospheric tower
64741-46-4	Naphtha (petroleum), light straight-run	Naphtha petroleum light straight-run
64741-47-5	Natural gas condensates (petroleum)	Natural gas condensates, (petroleum)
64741-48-6	Natural gas (petroleum), raw liq. Mix	Natural gas, (petroleum), raw liq. mix
64741-49-7	Condensates (petroleum), vacuum tower	Condensates, (petroleum), vacuum tower
64741-50-0	Distillates (petroleum), light paraffinic	Distillates petroleum light paraffinic
64741-51-1	Distillates (petroleum), heavy paraffinic	Distillates petroleum heavy paraffinic
64741-52-2	Distillates (petroleum), light naphthenic	Distillates petroleum light naphthenic
64741-53-3	Distillates (petroleum), heavy naphthenic	Distillates petroleum heavy naphthenic
64741-54-4	Naphtha (petroleum), heavy catalytic cracked	Naphtha petroleum heavy catalytic cracked
64741-55-5	Naphtha (petroleum), light catalytic cracked	Naphtha petroleum light catalytic cracked
64741-56-6	Residues (petroleum), vacuum	Residues petroleum vacuum
64741-57-7	Gas oils (petroleum), heavy vacuum	Gas oils petroleum heavy vacuum
64741-58-8	Gas oils (petroleum), light vacuum	Gas oils petroleum light vacuum
64741-59-9	Distillates (petroleum), light catalytic cracked	Distillates petroleum light catalytic cracked
64741-60-2	Distillates (petroleum), intermediate catalytic cracked	Distillates petroleum intermediate catalytic crack
64741-61-3	Distillates (petroleum), heavy catalytic cracked	Distillates petroleum heavy catalytic cracked
64741-62-4	Clarified oils (petroleum), catalytic cracked	 
64741-63-5	Naphtha (petroleum), light catalytic reformed	 
64741-64-6	Naphtha (petroleum), full-range alkylate	Naphtha petroleum full-range alkylate
64741-65-7	Naphtha (petroleum), heavy alkylate	 
64741-66-8	Naphtha (petroleum), light alkylate	Naphtha petroleum light alkylate
64741-67-9	Residues (petroleum), catalytic reformer fractionator	Residues petroleum catalytic reformer fractionator
64741-68-0	Naphtha (petroleum), heavy catalytic reformed	Naphtha petroleum heavy catalytic reformed
64741-69-1	Naphtha (petroleum), light hydrocracked	Naphtha petroleum light hydrocracked
64741-70-4	Naphtha (petroleum), isomerization	Naphtha petroleum isomerization
64741-71-5	Polymers, petroleum, viscous	 
64741-72-6	Naphtha (petroleum), polymerisation	 
64741-73-7	Distillates (petroleum), alkylate	 
64741-74-8	Naphtha (petroleum), light thermal cracked	Naphtha petroleum light thermal crack
64741-75-9	Residues (petroleum), hydrocracked	Residues petroleum hydrocracked
64741-76-0	Distillates (petroleum), heavy hydrocracked	Distillates petroleum heavy hydrocrack
64741-77-1	Distillates (petroleum), light hydrocracked	Distillates petroleum light hydrocrack
64741-78-2	Naphtha (petroleum), heavy hydrocracked	Naphtha petroleum heavy hydrocracked
64741-79-3	Coke (petroleum)	Coke, (petroleum)
64741-80-6	Residues (petroleum), thermal cracked	Residues petroleum thermal cracked
64741-81-7	Distillates (petroleum), heavy thermal cracked	Distillates petroleum heavy thermal
64741-82-8	Distillates (petroleum), light thermal cracked	Distillates petroleum light thermal
64741-83-9	Naphtha (petroleum), heavy thermal cracked	Naphtha petroleum heavy thermal crack
64741-84-0	Naphtha (petroleum), solvent-refined light	 
64741-85-1	Raffinates (petroleum) sorption process	 
64741-86-2	Distillates (petroleum), sweetened middle	Distillates petroleum sweetened middle
64741-87-3	Naphtha (petroleum), sweetened	Naphtha petroleum sweetened
64741-88-4	Distillates (petroleum), solvent-refined heavy paraffinic	Distillates petroleum solvent-refined heavy paraff
64741-89-5	Distillates (petroleum), solvent-refined light paraffinic	Distillates petroleum solvent-refined light paraff
64741-90-8	Gas oils (petroleum), solvent-refined	Gas oils petroleum solvent-refined
64741-91-9	Distillates (petroleum), solvent-refined middle	 
64741-92-0	Naphtha (petroleum), solvent-refined heavy	Naphtha petroleum solvent-refined heavy
64741-95-3	Residual oils (petroleum), solvent deasphalted	Residual oils petroleum solvent deasphalted
64741-96-4	Distillates (petroleum), solvent-refined heavy naphthenic	Distillates petroleum solvent-refined heavy naphth
64741-97-5	Distillates (petroleum), solvent-refined light naphthenic	Distillates petroleum solvent-refined light naphth
64741-98-6	Extracts (petroleum), heavy naphtha solvent	Extracts petroleum heavy naphtha solvent
64741-99-7	Extracts (petroleum), light naphtha solvent	Extracts petroleum light naphtha solvent
64742-01-4	Residual oils (petroleum), solvent-refined	Residual oils petroleum solvent-refined
64742-04-7	Extracts (petroleum), heavy paraffinic distillate solvent	Extracts petroleum heavy paraffinic
64742-05-8	Extracts (petroleum), light paraffinic distillate solvent	Extracts petroleum light paraffinic
64742-06-9	Extracts (petroleum), middle distillate solvent	 
64742-07-0	Raffinates (petroleum), residual oil decarbonization	Raffinates petroleum residual oil decarbonization
64742-10-5	Extracts (petroleum), residual oil solvent	Extracts petroleum residual oil solvent
64742-11-6	Extracts (petroleum), heavy naphthenic distillate solvent	Extracts petroleum heavy naphthenic
64742-13-8	Distillates (petroleum), acid-treated middle	Distillates petroleum acid-treated middle
64742-14-9	Distillates (petroleum), acid-treated light	Distillates petroleum acid-treated light
64742-16-1	Petroleum resins	 
64742-22-9	Naphtha (petroleum), chemically neutralized heavy	Naphtha petroleum chemically neutralized heavy
64742-23-0	Naphtha (petroleum), chemically neutralized light	Naphtha petroleum chemically neutralized light
64742-24-1	Sludges (petroleum), acid	Sludges, (petroleum), acid
64742-29-6	Gas oils (petroleum), chemically neutralized	Gas oils petroleum chemically neutralized
64742-30-9	Distillates (petroleum), chemically neutralized middle	Distillates petroleum chemically neutralized middl
64742-31-0	Distillates (petroleum), chemically neutralized light	Distillates petroleum chemically neutralized light
64742-34-3	Distillates (petroleum)chemically neutralized heavy naphtenic	Distillates petroleum chemically neutralize heavy
64742-35-4	Distillates (petroleum) chemically neutralized light naphthenic	Distillates petrol chemically neutralized light na
64742-36-5	Distillates (petroleum), clay-treated heavy paraffinic	Distillates petroleum clay-treated heavy paraffini
64742-38-7	Distillates (petroleum), clay-treated middle	 
64742-40-1	Neutralizing agents (petroleum), spent sodium hydroxides	Neutralizing agents, (petroleum), spent, hydroxide
64742-41-2	Residual oils (petroleum), clay-treated	Residual oils petroleum clay-treated
64742-42-3	Hydrocarbon waxes (petroleum), clay-treated microcryst.	Hydrocarbon waxes (petroleum), clay-treated microc
64742-43-4	Paraffin waxes (petroleum), clay-treated	Paraffin waxes petroleum clay-treated
64742-44-5	Distillates (petroleum), clay-treated heavy naphthenic	Distillates petroleum clay-treated heavy naphtheni
64742-46-7	Distillates (petroleum), hydrotreated middle	 
64742-47-8	Distillates (petroleum), hydrotreated light	 
64742-48-9	Naphtha (petroleum), hydrotreated heavy	 
64742-49-0	Naphtha (petroleum), hydrotreated light	 
64742-51-4	Paraffin waxes (petroleum), hydrotreated	Paraffin waxes petroleum hydrotreated
64742-52-5	Distillates (petroleum), hydrotreated heavy naphthenic	Distillates petroleum hydrotreated heavy naphtheni
64742-53-6	Distillates (petroleum), hydrotreated light naphthenic	Distillates petroleum hydrotreated light naphtheni
64742-54-7	Distillates (petroleum), hydrotreated heavy paraffinic	Distillates petroleum hydrotreated heavy paraffini
64742-55-8	Distillates (petroleum), hydrotreated light paraffinic	Distillates petroleum hydrotreated light paraffini
64742-56-9	Distillates (petroleum), solvent-dewaxed light paraffinic	Distillates petroleum solvent-dewaxed light paraff
64742-57-0	Residual oils (petroleum), hydrotreated	Residual oils petroleum hydrotreated
64742-58-1	Lubricating oils (petroleum), hydrotreated spent	Lubricating oils petroleum hydrotreated spent
64742-59-2	Gas oils (petroleum), hydrotreated vacuum	Gas oils petroleum hydrotreated vacuum
64742-60-5	Hydrocarbon waxes (petroleum), hydrotreated microcryst.	Hydrocarbon waxes (petroleum), hydrotreated microc
64742-61-6	Slack wax (petroleum)	Slack wax, (petroleum)
