
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
78-51-3	Ethanol, 2-butoxy-, phosphate (3:1)	tris-(2-Butoxyethyl) phosphate
78-59-1	2-Cyclohexen-1-one, 3,5,5-trimethyl-	3,5,5-Trimethylcyclohex-2-enone
78-63-7	Hexane, 2,5-dimethyl-2,5-bis(t-butylperoxy)-	 
78-67-1	Propanenitrile, 2,2'-azobis[2-methyl-	2,2'-Azobis(2-methylpropanenitrile)
78-69-3	3-Octanol, 3,7-dimethyl-	 
78-70-6	1,6-Octadien-3-ol, 3,7-dimethyl-	Linalool
78-78-4	Butane, 2-methyl-	2-Methylbutane
78-79-5	Isoprene	1,3-Butadiene, 2-methyl-
78-82-0	Propanenitrile, 2-methyl-	iso-Butyronitrile
78-83-1	1-Propanol, 2-methyl-	iso-Butanol
78-84-2	Propanal, 2-methyl-	iso-Butanal
78-87-5	Propane, 1,2-dichloro-	1,2-Dichloropropane
78-89-7	1-Propanol, 2-chloro-	 
78-90-0	Propylenediamine	1,2-Propanediamine
78-92-2	Butan-2-ol	sec-Butyl alcohol
78-93-3	2-Butanone	Methyl ethyl ketone
78-96-6	2-Propanol, 1-amino-	1-Aminopropan-2-ol
78-97-7	Propanenitrile, 2-hydroxy-	 
79-00-5	Ethane, 1,1,2-trichloro-	1,1,2-Trichloroethane
79-01-6	Ethene, trichloro-	Ethylene, trichloro-
79-04-9	Acetyl chloride, chloro-	 
79-06-1	2-Propenamide	Acrylamide
79-07-2	2-Chloroacetamide	 
79-09-4	Propionic acid	 
79-10-7	Acrylic acid	2-Propenoic acid
79-11-8	Chloroacetic acid	Acetic acid, chloro-
79-14-1	Glycollic acid	Acetic acid, hydroxy-
79-20-9	Methyl acetate	Acetic acid, methyl ester
79-21-0	Peroxyacetic acid	Ethaneperoxoic acid
79-22-1	Formic acid, chloro-, methyl ester	Carbonochloridic acid, methyl ester
79-24-3	Ethane, nitro-	 
79-27-6	1,1,2,2-Tetrabromoethane	 
79-29-8	2,3-Dimethylbutane	 
79-31-2	Propanoic acid, 2-methyl-	iso-Butyric acid
79-33-4	Propanoic acid, 2-hydroxy-, (S)-	 
79-34-5	Ethane, 1,1,2,2-tetrachloro-	1,1,2,2-Tetrachloroethane
79-36-7	Acetyl chloride, dichloro-	 
79-38-9	Ethene, chlorotrifluoro-	Ethylene, chlorotrifluoro-
79-39-0	2-Propenamide, 2-methyl-	Methacrylamide
79-41-4	Methacrylic acid	2-Propenoic acid, 2-methyl-
79-46-9	Propane, 2-nitro-	2-Nitropropane
79-50-5	DL-Pantoyl lactone	Dihydro-3-hydroxy-4,4-dimethylfuran-2(3H)-one
79-77-6	3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-	3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-y
79-92-5	Camphene	Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-
79-94-7	2,2',6,6'-Tetrabromo-4,4'-isopropylidenediphenol	Tetrabromo bisphenol A
80-05-7	Bisphenol A	4,4'-iso-Propylidenediphenol
