CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
68131-75-9	Gases (petroleum), C3-4		
12068-03-0	Benzenesulfonic acid, methyl-, sodium salt (1:1)		
85137-07-1	Butanedioic acid, polyisobutenyl derivs., reaction products with tetraethylenepentamine, zinc salts		
112-88-9	1-Octadecene		
68955-02-2	1,3-Propanediamine, N-[3-(C12-15-alkyloxy)propyl] derivs.		
673-84-7	2,4,6-Octatriene, 2,6-dimethyl-	17627-38-2, 17627-39-3, 23487-64-1	
1679-64-7	1,4-Benzenedicarboxylic acid, 1-methyl ester	2764684-51-5	
68515-40-2	1,2-Benzenedicarboxylic acid, benzyl C7-9-branched and linear alkyl esters		
674-82-8	2-Oxetanone, 4-methylene-	2130-41-8, 6144-29-2	
17540-75-9	Phenol, 2,6-bis(1,1-dimethylethyl)-4-(1-methylpropyl)-		
68515-44-6	1,2-Benzenedicarboxylic acid, 1,2-diheptyl ester, branched and linear		
65381-09-1	Decanoic acid, ester with 1,2,3-propanetriol octanoate	97794-26-8	
82-68-8	Benzene, 1,2,3,4,5-pentachloro-6-nitro-	1135443-48-9, 39378-26-2, 55353-34-9, 56573-57-0	
68515-43-5	1,2-Benzenedicarboxylic acid, di-C9-11-branched and linear alkyl esters		
68955-03-3	Propanenitrile, 3-amino-, N-[3-(C12-15-alkyloxy)propyl] derivs.		
106-88-7	Oxirane, 2-ethyl-	26249-20-7, 55555-96-9	
23128-51-0	Acetamide, N-[3-[bis[2-(acetyloxy)ethyl]amino]-4-methoxyphenyl]-		
112-90-3	9-Octadecen-1-amine, (9Z)-	101963-56-8, 163751-89-1, 39433-05-1, 62169-25-9, 745822-78-0, 90015-00-2	
68515-45-7	1,2-Benzenedicarboxylic acid, 1,2-dinonyl ester, branched and linear		
70-55-3	Benzenesulfonamide, 4-methyl-		
5026-74-4	2-Oxiranemethanamine, N-[4-(2-oxiranylmethoxy)phenyl]-N-(2-oxiranylmethyl)-	240116-43-2, 24942-36-7, 75013-29-5, 75454-53-4	
112-91-4	9-Octadecenenitrile, (9Z)-		
67762-19-0	Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, ammonium salts		
67762-25-8	Alcohols, C12-18	39387-31-0, 39433-03-9, 39457-30-2, 60650-33-1, 63393-83-9	
3386-33-2	Octadecane, 1-chloro-		
68955-19-1	Sulfuric acid, mono-C12-18-alkyl esters, sodium salts		
112-92-5	1-Octadecanol	193766-48-2, 8014-37-7, 8032-19-7, 8032-21-1, 8034-90-0	
17564-64-6	1H-Isoindole-1,3(2H)-dione, 2-(chloromethyl)-		
675-62-7	Silane, dichloromethyl(3,3,3-trifluoropropyl)-		
106-89-8	Oxirane, 2-(chloromethyl)-	109351-74-8, 13403-37-7, 36250-81-4, 9009-12-5	
68515-47-9	1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich		
68607-11-4	Petroleum products, refinery gases		
576-26-1	Phenol, 2,6-dimethyl-	1363408-62-1, 28449-96-9, 50356-22-4	
113706-15-3	Phosphorodithioic acid, mixed O,O-bis(sec-Bu and isooctyl) esters, zinc salts		
26140-60-3	Terphenyl	1323-04-2	
113706-14-2	Phosphorodithioic acid, mixed O,O-bis(sec-Bu and isooctyl) esters		
68515-48-0	1,2-Benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich		
68955-20-4	Sulfuric acid, mono-C16-18-alkyl esters, sodium salts		
67762-26-9	Fatty acids, C14-18 and C16-18-unsatd., Me esters		
5039-78-1	Ethanaminium, N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]-, chloride (1:1)	1008528-87-7, 114266-87-4, 115506-29-1, 1217193-20-8, 1411052-00-0, 161445-29-0, 1633768-03-2, 1639819-38-7, 1899905-86-2, 2098238-87-8, 2111952-14-6, 2135358-41-5, 2489374-75-4, 2640471-50-5, 2795222-72-7, 2938229-86-6, 313057-69-1, 57619-92-8, 68389-22-0, 73032-93-6, 732285-71-1, 77901-66-7, 80464-37-5, 81489-33-0, 92717-86-7, 99581-72-3, 99913-33-4	
71-23-8	1-Propanol		
68515-49-1	1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich		
577-11-7	Butanedioic acid, 2-sulfo-, 1,4-bis(2-ethylhexyl) ester, sodium salt (1:1)	105956-73-8, 106396-28-5, 110162-65-7, 113255-61-1, 12640-70-9, 130390-93-1, 133136-80-8, 135843-72-0, 138893-51-3, 141092-35-5, 1420177-77-0, 154608-80-7, 1644530-78-8, 1792189-42-4, 1859189-40-4, 1878156-39-8, 201816-76-4, 202352-75-8, 2068022-40-0, 209122-63-4, 209453-97-4, 2101416-24-2, 2152615-06-8, 2170442-07-4, 2222995-19-7, 2230042-82-5, 2326599-43-1, 29732-38-5, 2978193-97-2, 3056395-36-6, 336190-18-2, 435344-47-1, 51910-13-5, 52624-44-9, 53023-94-2, 56833-49-9, 59030-04-5, 590366-27-1, 60202-21-3, 66812-62-2, 67924-68-9, 75418-10-9, 76689-26-4, 78207-03-1, 835616-33-6	
67762-27-0	Alcohols, C16-18	12705-32-7, 1336-34-1, 1523470-99-6, 199745-51-2, 2245867-94-9, 39315-71-4, 52003-59-5, 58392-01-1, 58392-68-0, 63393-84-0, 67762-43-0, 78565-03-4, 798551-76-5, 8005-44-5, 8032-20-0, 8032-22-2, 8032-92-6, 8033-00-9, 8034-88-6, 8038-54-8, 942947-29-7	
70084-85-4	Fatty acids, tallow, distn. residues		
96-48-0	2(3H)-Furanone, dihydro-	187997-16-6	
372-09-8	Acetic acid, 2-cyano-		
23184-71-6	Phenol, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)		
68891-38-3	Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C12-14-alkyl ethers, sodium salts	68909-66-0	
67762-30-5	Alcohols, C14-18	67762-42-9, 942947-30-0	
68955-27-1	Distillates (petroleum), petroleum residues vacuum		
106-91-2	2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester	117955-24-5, 122785-80-2, 126872-19-3, 1451188-70-7, 169957-95-3, 201732-55-0, 202149-12-0, 203300-26-9, 210093-72-4, 55279-88-4, 865699-83-8, 89678-75-1, 96778-02-8, 98104-93-9	
12070-12-1	Tungsten carbide (WC)	182169-08-0, 182169-11-5, 188300-42-7, 188300-43-8, 188300-44-9, 188300-45-0, 2089386-72-9, 2135330-57-1, 2882826-22-2, 52555-87-0	
1691-99-2	1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-		
68607-28-3	Quaternary ammonium compounds, (oxydi-2,1-ethanediyl)bis[coco alkyldimethyl, dichlorides	68554-10-9	
68955-29-3	Distillates (petroleum), light thermal cracked, debutanized arom.		
68515-50-4	1,2-Benzenedicarboxylic acid, 1,2-dihexyl ester, branched and linear		
68955-28-2	Gases (petroleum), light steam-cracked, butadiene conc.		
96-49-1	1,3-Dioxolan-2-one		
67762-34-9	Fatty acids, C8-18 and C18-unsatd., zinc salts	67762-45-2, 67762-47-4	
70084-98-9	Terpenes and Terpenoids, C10-30, distn. residues		
68607-29-4	Quaternary ammonium compounds, N,N,N,N',N'-pentamethyl-N'-tallow alkyltrimethylenedi-, dichlorides	39406-10-5, 57425-30-6, 62340-26-5, 68783-80-2	
67762-36-1	Fatty acids, C6-12	8040-17-3	
71-36-3	1-Butanol	107569-51-7, 1154866-91-7, 220713-25-7, 42031-19-6	
106-92-3	Oxirane, 2-[(2-propen-1-yloxy)methyl]-	112186-06-8, 90907-93-0	
67762-38-3	Fatty acids, C16-18 and C18-unsatd., Me esters	3024079-25-9, 953049-62-2	
68955-34-0	Gases (petroleum), straight-run naphtha catalytic reformer stabilizer overhead		
